id,text,input_form_metadata_variant,verdict,category,needs_info,notes
C01,ส่งงานด่วนนะครับ พรุ่งนี้เช้าอาจารย์จะตรวจ,direct · —,safe,,,
C02,ด่วน! Flash Sale ลด 50% วันนี้วันเดียว ที่ Shopee,direct · —,safe,,,
C03,ของถูกมาก แต่ต้องจองภายในวันนี้,direct · —,safe,,,แต่ถ้ามีลิงค์แปลกๆแนบมาด้วยเป็น danger
C04,แม่โอนเงินค่าเทอมให้ด่วนหน่อย พรุ่งนี้วันสุดท้าย,direct · metadata: ผู้ส่ง = เบอร์ที่ผู้รับบันทึกไว้ (consent form ระบุว่าเป็นลูก),caution,,sender_identity;account_name_match,แต่ควรจะเช็คเบอร์โทรลูกก่อนว่าใช่เบอร์ลูกลูกจริงมั้ย เช็คเบอร์และเลขบัญชี
C05,แม่โอนเงินค่าเทอมให้ด่วนหน่อย พรุ่งนี้วันสุดท้าย,direct · — (ไม่มี metadata),caution,,sender_identity;account_name_match,ควรจะเช็กทั้งเบอร์และเลขบัญชีชื่อบัญชี
C06,รหัส OTP ของคุณคือ 482913 ห้ามบอกรหัสนี้กับผู้อื่น,direct · —,safe,,,
C07,SCB: รายการโอนเงิน 500.00 บาท ไปยัง xxx-x-x1234 เวลา 10:15 น.,direct · —,safe,,,
C08,บัญชีของคุณถูกระงับ กรุณายืนยันตัวตนด่วนที่ลิงก์นี้ http://scb-verify.xyz,direct · —,danger,,,domain แปลก
C09,ระบบแจ้งให้ยืนยันข้อมูลบางอย่างภายในวันนี้,direct · —,caution,,,ขึ้นอยู่กับว่าเคยไปสมัครอะไรมั้ย แล้วน่าเชื่อถือหรือใหม่ พิจารณาตามบริบท
C10,กสิกรไทย ยกเลิกส่ง SMS แบบลิงก์ เพิ่มความปลอดภัย มีผลตั้งแต่วันนี้,direct · —,safe,,,
C11,"คุณเป็นผู้โชคดีได้รับวงเงินกู้จาก ธปท. 200,000 บาท",direct · —,danger,,,
C12,"คุณเป็นผู้โชคดีได้รับวงเงินกู้จาก ธปท. 200,000 บาท กดรับสิทธิ์ที่ <URL>",direct · `<URL>` = มี URL จริง (ดู source ตามข้อ 6),danger,,,
C13,หวัดดี เปลี่ยนเบอร์ใหม่นะ เซฟไว้ด้วย,direct · —,safe,,,
C14,"หวัดดี เปลี่ยนเบอร์ใหม่นะ ขอยืมเงิน 5,000 ด่วน เดี๋ยวคืนพรุ่งนี้",direct · —,caution,,,ควรจะเช็คกับเจ้าตัวคนยืมจากช่องทางอื่นด้วยเช่น facebook
C15,ขอโทษที่รบกวน ฉันอ่านโปรไฟล์คุณบน LinkedIn อยากเรียนรู้จากคุณ,direct · —,safe,,,
C16,"งานออนไลน์ กดไลค์ได้เงิน วันละ 500-2,000 บาท สนใจทัก LINE @job888",direct · —,caution,,,ผมคิดว่าจากที่เคยเห็นมาส่วนใหญ่จะเป็นงานเทาๆ
C17,"งานออนไลน์ได้เงินวันละ 10,000 ไม่ต้องสัมภาษณ์ สมัครด่วน",direct · —,danger,,,เงินเยอะผิดปกติ
C18,"งานออนไลน์ได้เงินวันละ 10,000 ไม่ต้องสัมภาษณ์ สมัครด่วน inbox ได้","direct · variant: ""ทัก DM""",danger,,,
C19,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 70 บาท มีสัมภาษณ์หน้าร้าน ทัก DM,"direct · variant: ""inbox ได้""",safe,,,
C20,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน ทัก DM,"direct · variant: ""line: @id""",danger,,,
C21,ขอเลขบชพร้อมเพย์หน่อยคับ จะโอนค่าชีท,"direct · variant: ""ทัก DM"" / ""inbox ได้""",safe,,,
C22,ขอเลขบัญชีพร้อมเพย์หน่อยครับ จะโอนค่าชีท line: @id,direct · —,safe,,,
C23,มีใครขายชีท SC135 บ้างครับ line: @id,direct · —,safe,,,
C24,ขอโอนเต็มก่อน เดี๋ยวส่งเลขพัสดุให้,direct · — (= ผู้ขายไม่รู้จัก),danger,,,ถ้าตกลงกันแล้วว่าจะเก็บเงินปลายทาง แต่พอส่งของจริงจะเก็บเงินก่อนแบบนี้มีพิรุจไม่ตามสัญญา
C25,ของอยู่ต่างจังหวัด โอนก่อนส่งเท่านั้น ราคาพิเศษถึงวันนี้,"direct · — · variant: ""inbox ได้""",caution,,seller_identity,ต้องพิจารณาตามกฏของผู้ขายถ้ามีกฏว่าต้องโอนก่อนส่งก็ต้องทำตามกฏ ถ้ากลัวจะไม่ได้ของหรือโดนโกงก็ให้เลี้ยงผู้ค้ารายนี้ไปก่อน
C26,รีบโอนก่อนนะ เหลือคนเดียวแล้ว,"direct · — · variant: ""ทัก DM""",caution,,,พิจารณาจากหลักฐานหรือคำพูดเพิ่มเติม เพราะบางทีพนักงานขายก็ชอบใช้เทคนิคนี้
C27,รีบโอนก่อนนะ เหลือคนเดียวแล้ว line: @id,direct · —,caution,,,พิจารณาจากหลักฐานหรือคำพูดเพิ่มเติม เพราะบางทีพนักงานขายก็ชอบใช้เทคนิคนี้
C28,มีคนจองหลายคน ถ้าเอาโอนมัดจำมาก่อนได้เลย ทัก DM,direct · —,caution,,,พิจารณาจากหลักฐานหรือคำพูดเพิ่มเติม เพราะบางทีพนักงานขายก็ชอบใช้เทคนิคนี้
C29,โอนเต็มก่อนเท่านั้น ไม่รับนัด ไม่รับวิดีโอคอล inbox ได้,direct · —,danger,,,
C30,บัญชีนี้ของแฟนเราเอง ปลอดภัยแน่นอน โอนมาเลย,"direct · variant: ""inbox ได้""",danger,,,ถ้าซื้อกับผู้ขายที่ไม่เคยรู้จักกัน แต่ถ้าเป็นคนทีรู้จักกันอาจจะต้องพิจารณาเพิ่มเติม
C31,ทักไลน์อย่างเดียวคับ ไม่ค่อยตอบในกลุ่ม,direct · —,safe,,,
C32,ทักไลน์อย่างเดียวคับ ไม่ค่อยตอบในกลุ่ม line: @id,direct · —,safe,,,
C33,มีคนขอรหัสยืนยัน บอกว่าเป็นแอดมินกลุ่ม,narrative · —,danger,,,
C34,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองสิทธิ์,narrative · —,danger,,,
C35,รุ่นพี่ฝากบอกให้โอนค่าชีทด่วน ไม่งั้นหมดสิทธิ์,"direct (ส่งต่อคำสั่งถึงผู้อ่าน) · — · variant: ""ส่งในกลุ่มได้เลย""",caution,,verify_with_claimed_person,สามารถทักถามรุ่นพี่โดยตรงเพื่อพูดคุยก่อนได้
C36,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ พร้อมเพย์ 08x-xxx-xxxx ภายในวันนี้,direct · —,danger,,,
C37,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ บัญชี xxx123 ภายในวันนี้,direct · —,danger,,,
